Phi[deg],Theta[deg],dB(GainTotal)
-180,0,1.66397
-179,0,1.66397
-178,0,1.66397
-177,0,1.66397
-176,0,1.66397
-175,0,1.66397
-174,0,1.66397
-173,0,1.66397
-172,0,1.66397
-171,0,1.66397
-170,0,1.66397
-169,0,1.66397
-168,0,1.66397
-167,0,1.66397
-166,0,1.66397
-165,0,1.66397
-164,0,1.66397
-163,0,1.66397
-162,0,1.66397
-161,0,1.66397
-160,0,1.66397
-159,0,1.66397
-158,0,1.66397
-157,0,1.66397
-156,0,1.66397
-155,0,1.66397
-154,0,1.66397
-153,0,1.66397
-152,0,1.66397
-151,0,1.66397
-150,0,1.66397
-149,0,1.66397
-148,0,1.66397
-147,0,1.66397
-146,0,1.66397
-145,0,1.66397
-144,0,1.66397
-143,0,1.66397
-142,0,1.66397
-141,0,1.66397
-140,0,1.66397
-139,0,1.66397
-138,0,1.66397
-137,0,1.66397
-136,0,1.66397
-135,0,1.66397
-134,0,1.66397
-133,0,1.66397
-132,0,1.66397
-131,0,1.66397
-130,0,1.66397
-129,0,1.66397
-128,0,1.66397
-127,0,1.66397
-126,0,1.66397
-125,0,1.66397
-124,0,1.66397
-123,0,1.66397
-122,0,1.66397
-121,0,1.66397
-120,0,1.66397
-119,0,1.66397
-118,0,1.66397
-117,0,1.66397
-116,0,1.66397
-115,0,1.66397
-114,0,1.66397
-113,0,1.66397
-112,0,1.66397
-111,0,1.66397
-110,0,1.66397
-109,0,1.66397
-108,0,1.66397
-107,0,1.66397
-106,0,1.66397
-105,0,1.66397
-104,0,1.66397
-103,0,1.66397
-102,0,1.66397
-101,0,1.66397
-100,0,1.66397
-99,0,1.66397
-98,0,1.66397
-97,0,1.66397
-96,0,1.66397
-95,0,1.66397
-94,0,1.66397
-93,0,1.66397
-92,0,1.66397
-91,0,1.66397
-90,0,1.66397
-89,0,1.66397
-88,0,1.66397
-87,0,1.66397
-86,0,1.66397
-85,0,1.66397
-84,0,1.66397
-83,0,1.66397
-82,0,1.66397
-81,0,1.66397
-80,0,1.66397
-79,0,1.66397
-78,0,1.66397
-77,0,1.66397
-76,0,1.66397
-75,0,1.66397
-74,0,1.66397
-73,0,1.66397
-72,0,1.66397
-71,0,1.66397
-70,0,1.66397
-69,0,1.66397
-68,0,1.66397
-67,0,1.66397
-66,0,1.66397
-65,0,1.66397
-64,0,1.66397
-63,0,1.66397
-62,0,1.66397
-61,0,1.66397
-60,0,1.66397
-59,0,1.66397
-58,0,1.66397
-57,0,1.66397
-56,0,1.66397
-55,0,1.66397
-54,0,1.66397
-53,0,1.66397
-52,0,1.66397
-51,0,1.66397
-50,0,1.66397
-49,0,1.66397
-48,0,1.66397
-47,0,1.66397
-46,0,1.66397
-45,0,1.66397
-44,0,1.66397
-43,0,1.66397
-42,0,1.66397
-41,0,1.66397
-40,0,1.66397
-39,0,1.66397
-38,0,1.66397
-37,0,1.66397
-36,0,1.66397
-35,0,1.66397
-34,0,1.66397
-33,0,1.66397
-32,0,1.66397
-31,0,1.66397
-30,0,1.66397
-29,0,1.66397
-28,0,1.66397
-27,0,1.66397
-26,0,1.66397
-25,0,1.66397
-24,0,1.66397
-23,0,1.66397
-22,0,1.66397
-21,0,1.66397
-20,0,1.66397
-19,0,1.66397
-18,0,1.66397
-17,0,1.66397
-16,0,1.66397
-15,0,1.66397
-14,0,1.66397
-13,0,1.66397
-12,0,1.66397
-11,0,1.66397
-10,0,1.66397
-9,0,1.66397
-8,0,1.66397
-7,0,1.66397
-6,0,1.66397
-5,0,1.66397
-4,0,1.66397
-3,0,1.66397
-2,0,1.66397
-1,0,1.66397
0,0,1.66397
1,0,1.66397
2,0,1.66397
3,0,1.66397
4,0,1.66397
5,0,1.66397
6,0,1.66397
7,0,1.66397
8,0,1.66397
9,0,1.66397
10,0,1.66397
11,0,1.66397
12,0,1.66397
13,0,1.66397
14,0,1.66397
15,0,1.66397
16,0,1.66397
17,0,1.66397
18,0,1.66397
19,0,1.66397
20,0,1.66397
21,0,1.66397
22,0,1.66397
23,0,1.66397
24,0,1.66397
25,0,1.66397
26,0,1.66397
27,0,1.66397
28,0,1.66397
29,0,1.66397
30,0,1.66397
31,0,1.66397
32,0,1.66397
33,0,1.66397
34,0,1.66397
35,0,1.66397
36,0,1.66397
37,0,1.66397
38,0,1.66397
39,0,1.66397
40,0,1.66397
41,0,1.66397
42,0,1.66397
43,0,1.66397
44,0,1.66397
45,0,1.66397
46,0,1.66397
47,0,1.66397
48,0,1.66397
49,0,1.66397
50,0,1.66397
51,0,1.66397
52,0,1.66397
53,0,1.66397
54,0,1.66397
55,0,1.66397
56,0,1.66397
57,0,1.66397
58,0,1.66397
59,0,1.66397
60,0,1.66397
61,0,1.66397
62,0,1.66397
63,0,1.66397
64,0,1.66397
65,0,1.66397
66,0,1.66397
67,0,1.66397
68,0,1.66397
69,0,1.66397
70,0,1.66397
71,0,1.66397
72,0,1.66397
73,0,1.66397
74,0,1.66397
75,0,1.66397
76,0,1.66397
77,0,1.66397
78,0,1.66397
79,0,1.66397
80,0,1.66397
81,0,1.66397
82,0,1.66397
83,0,1.66397
84,0,1.66397
85,0,1.66397
86,0,1.66397
87,0,1.66397
88,0,1.66397
89,0,1.66397
90,0,1.66397
91,0,1.66397
92,0,1.66397
93,0,1.66397
94,0,1.66397
95,0,1.66397
96,0,1.66397
97,0,1.66397
98,0,1.66397
99,0,1.66397
100,0,1.66397
101,0,1.66397
102,0,1.66397
103,0,1.66397
104,0,1.66397
105,0,1.66397
106,0,1.66397
107,0,1.66397
108,0,1.66397
109,0,1.66397
110,0,1.66397
111,0,1.66397
112,0,1.66397
113,0,1.66397
114,0,1.66397
115,0,1.66397
116,0,1.66397
117,0,1.66397
118,0,1.66397
119,0,1.66397
120,0,1.66397
121,0,1.66397
122,0,1.66397
123,0,1.66397
124,0,1.66397
125,0,1.66397
126,0,1.66397
127,0,1.66397
128,0,1.66397
129,0,1.66397
130,0,1.66397
131,0,1.66397
132,0,1.66397
133,0,1.66397
134,0,1.66397
135,0,1.66397
136,0,1.66397
137,0,1.66397
138,0,1.66397
139,0,1.66397
140,0,1.66397
141,0,1.66397
142,0,1.66397
143,0,1.66397
144,0,1.66397
145,0,1.66397
146,0,1.66397
147,0,1.66397
148,0,1.66397
